,NDVI,LST,BURNED_AREA,CLASS
29,0.525014,14660.0,3.0,no_fire
35,0.656264,14546.0,5.0,no_fire
1211,0.431734,14142.7,4.433486,no_fire
422,0.534588,15085.735294,5.0,no_fire
1374,0.443236,14502.892857,4.859155,no_fire
1552,0.500885,15299.642857,3.428571,fire
1444,0.577605,14008.410959,4.56422,no_fire
1124,0.578036,15143.333333,5.0,fire
1083,0.477852,15155.966667,5.0,no_fire
1222,0.552686,14455.888889,5.0,fire
524,0.427322,13799.91453,4.982906,no_fire
1428,0.608109,14914.0,5.0,no_fire
1052,0.627486,14707.5,3.0,fire
984,0.608168,14801.078947,5.0,no_fire
740,0.533474,14778.5,5.0,no_fire
1087,0.372764,14012.0,4.583333,no_fire
1433,0.590911,14496.963145,4.521951,no_fire
792,0.619918,14436.632075,4.735849,no_fire
1100,0.511337,14288.0,5.0,no_fire
574,0.631937,14818.737973,4.542922,fire
674,0.448412,14489.583789,4.981524,no_fire
678,0.624118,15088.647887,4.915493,no_fire
548,0.616579,14952.0,5.0,fire
1425,0.107733,13529.0,4.0,no_fire
494,0.576319,14402.818182,5.0,no_fire
1032,0.14337,13760.666667,4.888889,no_fire
431,0.682284,14780.0,5.0,fire
733,0.515754,14163.603143,4.763458,no_fire
1165,0.4779,14961.612903,4.802817,no_fire
1089,0.674814,14831.5,5.0,no_fire
1479,0.589115,14747.736842,5.0,no_fire
969,0.586352,14801.582734,4.333333,no_fire
40,0.546875,14584.162791,4.348837,no_fire
1227,0.558637,14600.15,4.79235,no_fire
75,0.62055,14666.290323,4.651163,no_fire
995,0.444479,14365.4,4.904762,no_fire
933,0.518494,14522.16,5.0,no_fire
247,0.469879,15014.807487,4.559727,fire
813,0.557821,14724.977528,4.722222,no_fire
781,0.656282,14294.241379,4.837838,fire
737,0.585481,14526.9,4.2,no_fire
186,0.50801,15308.882353,6.380952,fire
1572,0.524472,14513.0,5.0,no_fire
312,0.473573,14721.0,4.5,fire
8,0.696477,14658.0,3.0,no_fire
1218,0.441318,15142.935053,4.943713,fire
955,0.61491,14821.666667,3.0,no_fire
935,0.549627,14390.5,4.0,no_fire
1091,0.397542,14830.153846,4.901408,fire
1255,0.753615,15078.0,5.0,no_fire
795,0.496884,15114.0,5.0,no_fire
1214,0.604867,14608.8,5.0,no_fire
921,0.696446,14426.0,5.0,no_fire
898,0.550642,14548.0,3.714286,no_fire
445,0.48652,14438.944444,4.833333,no_fire
1170,0.517031,14526.464286,4.97619,no_fire
464,0.598544,14884.5,5.0,no_fire
1372,0.576785,14763.647887,4.971831,fire
195,0.566751,14277.0,4.0,no_fire
615,0.52418,14666.0,5.0,no_fire
1666,0.664733,15087.833333,5.5,fire
1337,0.464733,14153.466667,5.0,no_fire
1005,0.649476,15015.5,5.0,no_fire
752,0.588011,14811.842105,3.655172,fire
1621,0.433276,15029.833333,5.0,no_fire
243,0.537944,13997.0,3.0,no_fire
401,0.428941,14417.533333,4.431193,no_fire
911,0.644606,14545.0,5.0,no_fire
720,0.510489,14252.125,4.086207,no_fire
1382,0.730084,14873.5,5.0,no_fire
881,0.478485,14373.946809,4.906467,fire
477,0.697041,14259.0,4.888889,no_fire
1548,0.542951,15102.5,4.0,no_fire
1627,0.491913,14949.3,5.0,no_fire
1105,0.56855,14367.0,4.896186,no_fire
1396,0.507465,14593.064516,4.97619,fire
285,0.588443,14224.188406,4.556604,no_fire
471,0.485756,14126.0,4.59434,no_fire
801,0.570595,14718.142857,4.666667,no_fire
905,0.499582,14554.0,4.852459,no_fire
1692,0.445512,14502.0,5.0,no_fire
692,0.600663,15006.0,5.0,no_fire
1629,0.468032,14606.5,4.741228,fire
1307,0.605396,14892.435461,4.830189,fire
1632,0.452272,14623.825726,4.487083,fire
1480,0.569935,14842.5,5.0,fire
